"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000067048.15",1764.9871278583,-11.8783611055336,0.602419416845999,8.71400644043747e-86,1.46700298424765e-81
"ENSG00000183878.14",721.859720353716,-10.8540219589428,0.55794445902132,5.70814952701886e-83,4.80483486436813e-79
"ENSG00000114374.11",817.990230534732,-11.3256912399456,0.587823359696602,1.00038475083493e-82,5.61382576010199e-79
"ENSG00000229807.8",3670.17147394283,11.306203412436,0.611489228445955,2.7398505675455e-77,1.15313460761571e-73
"ENSG00000165246.11",483.733341189079,-11.9066535346926,0.856870582020267,8.16650813152628e-72,2.7496632878849e-68
"ENSG00000012817.14",1248.99730981555,-10.9536838376125,0.620756881587156,6.94090241742918e-70,1.94750153662367e-66
"ENSG00000067646.10",463.987741624712,-11.846894487882,0.868940795310893,5.00886994446523e-68,1.20463322164389e-64
"ENSG00000233864.6",345.592592172202,-11.958211593545,1.02945554450979,2.64570635323942e-64,5.56755830709819e-61
"ENSG00000198692.8",829.156772473197,-13.2253254194606,1.10710561069212,1.81026829671619e-59,3.38620741946856e-56
"ENSG00000131002.10",1018.80069247734,-11.5488833985476,0.772081875301486,7.2466794443192e-52,1.21997848445114e-48
"ENSG00000099725.13",219.636259801025,-7.96880505235989,0.604545376524753,5.22894655743892e-42,8.00266502677129e-39
"ENSG00000176728.6",69.6662097240949,-9.54090043027728,1.15260913907238,5.2262290968306e-27,7.33196390376193e-24
"ENSG00000206159.9",44.8427537931801,-9.69968457118644,1.44893751626295,2.23682633643612e-24,2.89669010568477e-21
"ENSG00000273906.1",90.3902957141714,-0.18088737987261,0.367999098545103,1.35611751718924e-19,1.63073131442007e-16
"ENSG00000154620.5",75.2940416658597,-6.08705156812137,0.689661543632153,2.02938143706542e-19,2.27764243286643e-16
"ENSG00000166535.18",574.678002815215,5.82971176239931,0.83856071618011,1.40266254222119e-13,1.47586399364336e-10
"ENSG00000211599.2",68.0607981499198,6.79503913121755,1.07088277311219,1.09446972510551e-11,1.08384693071478e-08
"ENSG00000211942.3",87.2601435812757,6.95058744462308,0.881715886926683,6.16435737800574e-10,5.76538646992925e-07
"ENSG00000232216.1",139.051729522432,6.72215263245411,0.938311552910065,7.41125905001778e-10,6.25304325471911e-07
"ENSG00000170893.3",1338.86160436452,-0.081768819274039,0.221294168666213,7.42862281522912e-10,6.25304325471911e-07
"ENSG00000119866.19",289.42380935163,3.97843006371435,0.708775944499864,7.98097025796846e-10,6.39807782347138e-07
"ENSG00000244437.1",1112.67414864105,3.2537620100302,0.895236792225352,1.02589663797578e-09,7.85044086378286e-07
"ENSG00000225431.1",37.0896065797922,4.85402321482972,0.87882509007585,1.25661973831059e-09,9.19791012802556e-07
"ENSG00000188505.4",489.38311188589,4.70970444314741,0.872297320534927,2.52036292263669e-09,1.76792957510786e-06
"ENSG00000130829.16",149.145815688975,5.18059114579411,0.971904104789357,3.62000863708455e-09,2.43771381621274e-06
"ENSG00000211658.2",60.6801286066398,6.65583635646628,0.916561435112597,3.76503126207844e-09,2.43785774219579e-06
"ENSG00000112319.16",101.094564405218,-5.20367843058035,0.638241151428297,4.18486592323731e-09,2.60934140065556e-06
"ENSG00000211968.3",165.030636203731,8.17916834408706,1.10777735537444,5.14097177622575e-09,3.09100928045573e-06
